ZeroMQ Performance Log (Ours) - Transport: IPC+SHM+OURS
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
68    BatchLinear          0.019      0.042      2.292      0.011      2.370        0.287      2.371        0.11       0.09      
69    BatchLinear          0.014      0.026      1.669      0.011      1.725        0.316      1.726        0.12       0.17      
70    Matmul               0.012      0.029      1.768      0.008      1.822        0.146      1.822        0.10       0.09      
71    Matmul               0.011      0.022      1.902      0.010      1.950        0.137      1.950        0.10       0.09      
72    BatchLinear          0.012      0.027      1.305      0.009      1.359        0.235      1.359        0.11       0.09      
73    BatchLinear          0.012      0.030      3.286      0.011      3.344        0.280      3.345        0.12       0.13      
74    BatchLinear          0.019      0.091      2.333      0.011      2.463        0.305      2.463        0.11       0.09      
75    BatchLinear          0.015      0.033      2.046      0.011      2.112        0.319      2.112        0.12       0.17      
76    Matmul               0.011      0.367      3.388      0.008      3.778        0.136      3.779        0.10       0.09      
77    Matmul               0.010      0.050      1.821      0.007      1.892        0.132      1.892        0.10       0.09      
78    BatchLinear          0.010      0.023      9.087      0.008      9.135        0.213      9.135        0.11       0.09      
79    BatchLinear          0.012      0.028      3.912      0.013      3.973        0.290      3.974        0.12       0.13      
80    BatchLinear          0.016      0.037      2.392      0.010      2.460        0.300      2.461        0.11       0.09      
81    BatchLinear          0.013      0.025      1.865      0.011      1.917        0.340      1.918        0.12       0.17      
82    Matmul               0.011      0.025      1.830      0.009      1.881        0.139      1.882        0.10       0.09      
83    Matmul               0.011      0.029      1.873      0.009      1.929        0.129      1.929        0.10       0.09      
84    BatchLinear          0.015      0.030      19.133     0.010      19.195       0.190      19.195       0.11       0.09      
85    BatchLinear          0.014      0.027      30.400     0.013      30.464       0.275      30.464       0.12       0.13      
86    BatchLinear          0.013      0.026      18.445     0.012      18.506       0.229      18.506       0.11       0.09      
87    BatchLinear          0.012      0.024      32.818     0.010      32.870       0.331      32.870       0.12       0.17      
88    Matmul               0.011      0.025      32.531     0.010      32.583       0.149      32.583       0.10       0.09      
89    Matmul               0.016      0.043      16.081     0.016      16.174       0.125      16.174       0.10       0.09      
90    BatchLinear          0.013      0.030      8.310      0.007      8.364        0.185      8.364        0.11       0.09      
91    BatchLinear          0.010      0.019      3.528      0.011      3.575        0.262      3.575        0.12       0.13      
92    BatchLinear          0.013      0.026      2.153      0.010      2.211        0.229      2.211        0.11       0.09      
