ZeroMQ Performance Log (OTP) - Transport: IPC+SHM+OTP
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
68    BatchLinear          0.035      0.062      5.617      0.024      5.748        0.292      5.749        0.11       0.09      
69    BatchLinear          0.029      0.052      3.281      0.024      3.394        0.433      3.394        0.12       0.17      
70    Matmul               0.027      0.049      13.916     0.020      14.025       0.243      14.026       0.10       0.09      
71    Matmul               0.022      0.044      34.434     0.026      34.543       0.206      34.543       0.10       0.09      
72    BatchLinear          0.026      0.048      2.486      0.018      2.585        0.304      2.586        0.11       0.09      
73    BatchLinear          0.033      0.061      7.729      0.034      7.876        0.376      7.876        0.12       0.13      
74    BatchLinear          0.036      0.066      5.723      0.022      5.857        0.397      5.858        0.11       0.09      
75    BatchLinear          0.031      0.059      4.127      0.022      4.247        0.753      4.248        0.12       0.17      
76    Matmul               0.029      0.064      8.595      0.020      8.720        0.287      8.720        0.10       0.09      
77    Matmul               0.022      0.041      7.156      0.018      7.250        0.273      7.250        0.10       0.09      
78    BatchLinear          0.026      0.045      27.128     0.021      27.234       0.427      27.234       0.11       0.09      
79    BatchLinear          0.034      0.061      27.534     0.025      27.669       0.566      27.670       0.12       0.13      
80    BatchLinear          0.038      0.072      5.998      0.025      6.144        0.676      6.145        0.11       0.09      
81    BatchLinear          0.032      0.058      4.132      0.024      4.255        0.682      4.256        0.12       0.17      
82    Matmul               0.029      0.058      8.237      0.021      8.358        0.305      8.358        0.10       0.09      
83    Matmul               0.023      0.040      7.205      0.019      7.298        0.298      7.298        0.10       0.09      
84    BatchLinear          0.027      0.046      23.064     0.022      23.173       0.465      23.174       0.11       0.09      
85    BatchLinear          0.032      0.065      8.277      0.024      8.411        0.581      8.412        0.12       0.13      
86    BatchLinear          0.037      0.066      12.037     0.029      12.187       0.563      12.188       0.11       0.09      
87    BatchLinear          0.027      0.058      12.080     0.026      12.207       0.645      12.207       0.12       0.17      
88    Matmul               0.027      0.044      45.938     0.019      46.040       0.300      46.052       0.10       0.09      
89    Matmul               0.023      0.046      41.801     0.026      41.913       0.250      41.913       0.10       0.09      
90    BatchLinear          0.026      0.067      22.515     0.020      22.643       0.409      22.643       0.11       0.09      
91    BatchLinear          0.035      0.072      14.877     0.036      15.040       0.444      15.041       0.12       0.13      
92    BatchLinear          0.037      0.071      9.481      0.029      9.634        0.400      9.635        0.11       0.09      
93    BatchLinear          0.028      0.056      10.427     0.025      10.549       0.504      10.549       0.12       0.17      
94    Matmul               0.026      0.049      13.825     0.020      13.932       0.239      13.933       0.10       0.09      
95    Matmul               0.023      0.043      42.445     0.020      42.546       0.203      42.546       0.10       0.09      
96    BatchLinear          0.026      0.052      19.617     0.022      19.732       0.389      19.733       0.11       0.09      
97    BatchLinear          0.030      0.061      35.454     0.033      35.597       0.517      35.597       0.12       0.13      
98    BatchLinear          0.034      0.065      26.915     0.027      27.058       0.427      27.058       0.11       0.09      
99    LMHead               0.017      0.050      5.291      0.011      5.375        0.000      5.375        0.07       0.07      
1     Embedding            0.011      0.021      6.146      0.033      6.237        0.000      6.238        0.07       0.07      
2     BatchLinear          0.028      0.051      39.179     0.024      39.299       0.426      39.299       0.12       0.17      
3     Matmul               0.022      0.049      40.129     0.025      40.244       0.206      40.245       0.10       0.09      
4     Matmul               0.022      0.049      22.630     0.017      22.731       0.187      22.731       0.10       0.09      
5     BatchLinear          0.021      0.042      3.198      0.019      3.291        0.291      3.291        0.11       0.09      
6     BatchLinear          0.032      0.053      6.025      0.028      6.150        0.411      6.151        0.12       0.13      
7     BatchLinear          0.034      0.058      5.265      0.027      5.399        0.394      5.399        0.11       0.09      
8     BatchLinear          0.028      0.044      4.196      0.029      4.308        0.737      4.309        0.12       0.17      
9     Matmul               0.024      0.041      7.724      0.024      7.826        0.257      7.826        0.10       0.09      
10    Matmul               0.018      0.036      6.887      0.021      6.976        0.246      6.976        0.10       0.09      
11    BatchLinear          0.022      0.043      3.187      0.021      3.286        0.422      3.287        0.11       0.09      
12    BatchLinear          0.039      0.054      7.398      0.030      7.528        0.617      7.529        0.12       0.13      
13    BatchLinear          0.070      0.097      5.043      0.069      5.290        0.572      5.290        0.11       0.09      
14    BatchLinear          0.034      0.052      4.552      0.037      4.692        0.746      4.693        0.12       0.17      
15    Matmul               0.023      0.040      9.474      0.046      9.600        0.361      9.600        0.10       0.09      
16    Matmul               0.020      0.042      7.361      0.026      7.465        0.292      7.465        0.10       0.09      
17    BatchLinear          0.021      0.038      3.381      0.021      3.474        0.402      3.474        0.11       0.09      
18    BatchLinear          0.030      0.060      6.935      0.028      7.065        0.591      7.066        0.12       0.13      
19    BatchLinear          0.034      0.057      25.359     0.033      25.502       0.532      25.503       0.11       0.09      
20    BatchLinear          0.037      0.046      4.217      0.032      4.346        0.668      4.347        0.12       0.17      
21    Matmul               0.046      0.064      39.021     0.022      39.168       0.300      39.168       0.10       0.09      
22    Matmul               0.033      0.044      8.129      0.019      8.239        0.184      8.240        0.10       0.09      
23    BatchLinear          0.023      0.045      4.960      0.020      5.061        0.369      5.061        0.11       0.09      
24    BatchLinear          0.030      0.054      7.529      0.027      7.654        0.450      7.654        0.12       0.13      
25    BatchLinear          0.032      0.058      6.512      0.027      6.644        0.467      6.645        0.11       0.09      
26    BatchLinear          0.025      0.044      4.190      0.032      4.307        0.627      4.307        0.12       0.17      
27    Matmul               0.024      0.042      8.951      0.028      9.059        0.312      9.060        0.10       0.09      
28    Matmul               0.022      0.037      6.912      0.025      7.011        0.261      7.011        0.10       0.09      
29    BatchLinear          0.023      0.041      9.879      0.020      9.971        0.451      9.971        0.11       0.09      
30    BatchLinear          0.031      0.060      6.723      0.027      6.850        0.493      6.850        0.12       0.13      
31    BatchLinear          0.034      0.055      4.777      0.030      4.914        0.510      4.915        0.11       0.09      
32    BatchLinear          0.027      0.045      4.558      0.039      4.685        0.775      4.686        0.12       0.17      
33    Matmul               0.034      0.041      47.028     0.023      47.141       0.319      47.141       0.10       0.09      
34    Matmul               0.020      0.039      6.360      0.019      6.451        0.216      6.451        0.10       0.09      
35    BatchLinear          0.023      0.042      2.856      0.020      2.954        0.369      2.954        0.11       0.09      
36    BatchLinear          0.033      0.058      6.996      0.027      7.122        0.560      7.123        0.12       0.13      
