ZeroMQ Performance Log - Transport: IPC+SHM
========================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
68    BatchLinear          32.751     15.603     43.647     0.038      92.066       0.563      92.067       16384.12   0.09      
69    BatchLinear          0.033      0.053      15.987     0.031      16.120       0.694      16.121       0.12       0.17      
70    Matmul               0.028      0.054      524.885    61.156     586.145      0.327      586.145      0.10       65536.10  
71    Matmul               123.966    60.289     343.715    0.044      528.043      0.362      528.043      65536.11   0.09      
72    BatchLinear          0.028      0.044      16.677     0.021      16.783       0.527      16.783       0.11       0.09      
73    BatchLinear          0.023      0.039      224.268    17.608     241.960      0.578      241.961      0.12       32768.15  
74    BatchLinear          31.510     14.988     42.092     0.038      88.655       0.636      88.656       16384.12   0.09      
75    BatchLinear          0.041      0.052      13.844     0.023      13.972       0.657      13.972       0.12       0.17      
76    Matmul               0.026      0.060      497.667    61.704     559.477      0.330      559.478      0.10       65536.10  
77    Matmul               124.329    60.251     298.148    0.036      482.789      0.364      482.790      65536.11   0.09      
78    BatchLinear          0.029      0.049      17.664     0.022      17.778       0.549      17.779       0.11       0.09      
79    BatchLinear          0.026      0.057      218.633    30.112     248.851      0.561      248.851      0.12       32768.15  
80    BatchLinear          31.347     14.983     44.376     0.039      90.770       0.653      90.771       16384.12   0.09      
81    BatchLinear          0.031      0.049      17.998     0.026      18.114       0.711      18.114       0.12       0.17      
82    Matmul               0.028      0.052      525.860    61.172     587.135      0.339      587.135      0.10       65536.10  
83    Matmul               123.296    60.491     351.336    0.040      535.196      0.361      535.197      65536.11   0.09      
84    BatchLinear          0.030      0.047      15.844     0.031      15.969       0.567      15.970       0.11       0.09      
85    BatchLinear          0.023      0.039      236.785    30.204     267.073      0.589      267.073      0.12       32768.15  
86    BatchLinear          31.371     15.014     43.623     0.036      90.068       0.660      90.069       16384.12   0.09      
87    BatchLinear          0.031      0.048      20.017     0.033      20.146       0.710      20.147       0.12       0.17      
88    Matmul               0.024      0.049      542.408    60.753     603.257      0.341      603.257      0.10       65536.10  
89    Matmul               123.622    60.445     312.887    0.040      497.069      0.373      497.070      65536.11   0.09      
90    BatchLinear          0.030      0.050      16.597     0.023      16.715       0.588      16.715       0.11       0.09      
91    BatchLinear          0.026      0.048      235.279    31.649     267.029      0.599      267.030      0.12       32768.15  
92    BatchLinear          32.798     15.666     42.862     0.039      91.397       0.630      91.398       16384.12   0.09      
93    BatchLinear          0.035      0.057      21.157     0.033      21.300       0.745      21.300       0.12       0.17      
94    Matmul               0.031      0.058      536.412    60.421     596.944      0.339      596.945      0.10       65536.10  
95    Matmul               123.514    60.299     361.354    0.039      545.234      0.384      545.235      65536.11   0.09      
96    BatchLinear          0.031      0.060      16.014     0.028      16.151       0.480      16.153       0.11       0.09      
97    BatchLinear          0.021      0.040      234.231    17.740     252.054      0.596      252.055      0.12       32768.15  
98    BatchLinear          32.071     15.092     42.474     0.038      89.702       0.679      89.703       16384.12   0.09      
99    LMHead               0.018      0.041      12.392     0.026      12.492       0.000      12.492       0.07       0.07      
1     Embedding            0.014      0.027      12.389     0.018      12.457       0.000      12.458       0.07       0.07      
2     BatchLinear          0.017      0.030      16.140     0.027      16.229       0.525      16.230       0.12       0.17      
3     Matmul               0.025      0.049      525.259    60.499     585.853      0.294      585.854      0.10       65536.10  
4     Matmul               123.102    60.195     307.123    0.036      490.483      0.376      490.484      65536.11   0.09      
5     BatchLinear          0.030      0.050      16.538     0.023      16.654       0.576      16.655       0.11       0.09      
6     BatchLinear          0.022      0.040      228.425    30.095     258.600      0.546      258.601      0.12       32768.15  
7     BatchLinear          31.394     15.070     40.292     0.035      86.815       0.570      86.816       16384.12   0.09      
8     BatchLinear          0.028      0.052      20.047     0.033      20.178       0.722      20.179       0.12       0.17      
9     Matmul               0.026      0.050      531.939    60.654     592.691      0.330      592.691      0.10       65536.10  
10    Matmul               123.770    60.191     299.576    0.041      483.608      0.370      483.609      65536.11   0.09      
11    BatchLinear          0.035      0.057      18.045     0.022      18.174       0.569      18.175       0.11       0.09      
12    BatchLinear          0.026      0.045      225.777    30.396     256.266      0.621      256.267      0.12       32768.15  
13    BatchLinear          31.872     15.170     42.148     0.038      89.253       0.646      89.254       16384.12   0.09      
14    BatchLinear          0.034      0.055      14.832     0.031      14.969       0.717      14.970       0.12       0.17      
15    Matmul               0.030      0.057      533.177    62.380     595.670      0.323      595.670      0.10       65536.10  
16    Matmul               129.361    61.563     343.316    0.042      534.310      0.317      534.311      65536.11   0.09      
